id,chat_sum,chat_avg,chat_word_count
R_26foQwHx00mxGLM,378.88,2.595068493150685,146
R_3n71CNV9LCe80Sn,387.40000000000043,2.747517730496457,141
R_296NDnjbgIfAkVA,225.08000000000004,2.3944680851063835,94
R_XQSNxYGlL0bXMPL,148.61,2.8578846153846156,52
R_3EYiswiqLNoDC6u,11.65,2.9125,4
R_Uabvykf9HK2bgfT,402.25000000000017,2.352339181286551,171
R_2TMmezNyzTNdrOq,227.84000000000012,2.6804705882352957,85
R_1gGvk3RA4WANCdu,351.6799999999999,2.3762162162162155,148
R_1rMIq5xS7jsJy6j,98.04999999999998,2.801428571428571,35
R_1MRIZ7yL7I5Ah1r,14.469999999999999,2.8939999999999997,5
R_1F943QGNnMu3Rua,286.0200000000001,2.4871304347826095,115
R_abzAR273hKkS4Ip,275.53999999999996,2.460178571428571,112
R_3e3xqKv0ABhZMfn,143.57000000000002,2.433389830508475,59
R_1mdZ8r5IiQMTo9Y,189.62000000000012,2.3702500000000013,80
R_1MRIZ7yL7I5Ah1r,280.34000000000015,2.5719266055045886,109
R_3G9rR9gASXtOaZL,125.64,2.6175,48
R_2a8h8n4JBAkj8pt,0,0,0
R_1rMIq5xS7jsJy6j,207.5300000000001,2.5620987654320997,81
R_2TpgUDbq8UZsaKM,380.1500000000001,2.4846405228758175,153
R_3k89eCesVqMq9fI,13.530000000000001,2.7060000000000004,5
R_27xoXspshFmLjum,368.0500000000003,2.4055555555555577,153
R_22FXdwb8J0GPHCz,458.62999999999994,2.6058522727272724,176
R_2U3BiswDMQyaoKF,145.71000000000004,2.3886885245901643,61
R_27W34wV1mKYlrbU,96.87000000000003,2.3626829268292693,41
R_1LFIBln7JmBsWBu,328.4900000000001,2.670650406504066,123
R_1N4TPkKrLdSbN0p,216.56000000000003,2.4332584269662925,89
R_20SuvZk5cnECvJX,307.58000000000004,2.563166666666667,120
R_3080uNKVPD6Fl9M,475.88,2.544812834224599,187
R_3e8IpF85oWAAnKO,414.8000000000001,2.6761290322580655,155
R_2AZFpcEfPV3vVYk,331.8600000000001,2.51409090909091,132
R_3M0ruzPO9rM7yVI,81.00999999999999,2.7934482758620685,29
R_1BVGOVcpioKo39Y,182.74,2.4044736842105263,76
R_1f7o6mczuTH0lsC,363.38000000000005,2.314522292993631,157
R_VI6r39gNbh92a6B,158.25000000000006,2.472656250000001,64
R_3M5p8vJxsUUA7jg,374.82,2.549795918367347,147
R_2rUEeXcbHOQB0ux,361.7700000000001,2.5122916666666675,144
R_1Q4IwIQe2Yc0mHI,359.8899999999999,2.665851851851851,135
R_33lmEOQAZmJ9BlC,78.64999999999998,2.6216666666666657,30
R_ahIvO8g4Iwv3vJD,116.30999999999996,2.1945283018867916,53
R_3hAWTPsgye6RQer,306.8100000000002,2.600084745762713,118
R_vZdoerF0LJ06ZDb,401.21000000000004,2.4024550898203594,167
R_1Mk7mIAQJ9DwC0V,592.4199999999995,2.408211382113819,246
R_ymdJqWwwPl7cqw9,549.1100000000002,2.67858536585366,205
R_33viArAvpdk8CJx,456.9100000000001,2.469783783783784,185
R_2AKaZ7CqodGL5Eo,232.00000000000006,2.636363636363637,88
R_2VrM0KnNmpjIpxx,333.25000000000017,2.5246212121212133,132
R_3MAlZQT16Ti4I1s,20.28,2.535,8
R_0lBR9R6hF6BLcCB,281.97999999999996,2.563454545454545,110
R_1rjBA36t1j2s4vO,428.4800000000002,2.505730994152048,171
R_1rdetUWInAASx2x,385.30000000000024,2.4081250000000014,160
R_bPGe86Rtf5Nooxj,550.13,2.570700934579439,214
R_1MWbTHbcLIP90SV,324.21000000000015,2.7017500000000014,120
R_2YmNjAwa4y0PZPU,346.69,2.5305839416058395,137
R_1OTd7yaCVZcwD3X,221.07000000000002,2.5705813953488375,86
R_6ulyJ9g8dX2P4J3,0,0,0
R_10UVH7ndAlsPFvK,792.9299999999994,2.4625155279503086,322
R_21oX7h5oszAY9b2,506.4899999999998,2.5710152284263947,197
R_33DQz45pbDu78Ax,70.00000000000001,2.5000000000000004,28
R_ZgTqOyzff3cQqgp,213.81000000000006,2.515411764705883,85
R_6ulyJ9g8dX2P4J3,133.28000000000003,2.5630769230769235,52
R_urAHqY6qm9zfEM9,55.28,2.7640000000000002,20
R_pB0ITL3mI4ObIL7,147.36000000000007,2.497627118644069,59
R_8iFvfrTgN61J8Wd,668.41,2.4940671641791043,268
R_21nZh12Vg7pvQJ3,388.4600000000002,2.506193548387098,155
R_1g6MG8oY3LFjLiO,804.4999999999994,2.6205211726384348,307
R_1luXvXXqRtSN6HM,737.9699999999992,2.435544554455443,303
R_2q3qjrw6ZvggtwL,429.3000000000002,2.467241379310346,174
R_33DQz45pbDu78Ax,529.5599999999998,2.5706796116504846,206
R_1rNbsSR91YebxR8,160.18,2.3555882352941175,68
R_2CV9oaYMKbSofkR,323.96,2.454242424242424,132
R_2aOXz7Gz0UyjH8Y,4.890000000000001,2.4450000000000003,2
R_240KuMdiFUzhUan,175.39000000000004,2.5792647058823537,68
R_3k4ZJl13wW2Ha82,330.6900000000002,2.5437692307692323,130
R_3C1GYR4J99Di67n,237.5600000000001,2.5006315789473694,95
R_1gABhieHHkZDpK8,677.2799999999994,2.5461654135338323,266
R_xGyqb5iFW4e5W13,475.04999999999984,2.6101648351648343,182
R_3g1PHrKnKYjnh7Y,0,0,0
R_1hM6e0EOSP648Cs,184.04,2.706470588235294,68
R_2XoDIzTn4xpX7em,438.72000000000025,2.464719101123597,178
R_1ISFoyhz9bcYwan,354.16000000000014,2.409251700680273,147
R_Ofp5yNRYiguwjYJ,354.75000000000006,2.498239436619719,142
R_3MSUWgvuyO7p0kw,311.2100000000001,2.682844827586208,116
R_1Xm6dvUGUhFPWaR,119.47999999999999,2.2543396226415093,53
R_1Cdy30Xx39Aygf9,146.88999999999993,2.4896610169491513,59
R_2B4nCkxq4FGw8nW,88.88999999999999,2.7778124999999996,32
R_1hYyC0vScou4NBI,141.76000000000002,2.40271186440678,59
R_3fPOAGvtecJvUqP,286.55000000000007,2.4917391304347833,115
R_1BVmpI3orn7ju8Q,194.64,2.561052631578947,76
R_1f2UHDUECO2Vt3y,64.24000000000001,2.9200000000000004,22
R_3imrWRzhq8xKWf0,149.76000000000002,2.3771428571428577,63
R_23V9LMlbaUQi4ty,6.16,3.08,2
R_1mVk974RnlveFOx,145.49,2.4659322033898308,59
R_21uib8FE0GQeGlD,46.940000000000005,2.2352380952380955,21
R_2cBlL3xLI61cPrq,52.76,2.512380952380952,21
R_28P4pI94SCnZZZV,494.2799999999998,2.561036269430051,193
R_1Gv71a1Twnmrk6l,237.62000000000012,2.4752083333333346,96
R_3fCqJ5wl9igcDEx,47.440000000000005,2.790588235294118,17
R_2qf3v5NvSFzMUZu,447.9600000000001,2.5452272727272733,176
R_5yWx895SPgEdzcl,415.4399999999999,2.548711656441717,163
R_1dicSAs7it06pS6,157.42000000000002,2.498730158730159,63
R_3fCqJ5wl9igcDEx,351.47000000000014,2.6034814814814826,135
R_1nZ6thhHUhbZ6A9,254.1200000000001,2.5668686868686876,99
R_2XoogJSTgn91jHY,160.37000000000003,2.586612903225807,62
R_3qpXw3UV6S3zWu1,499.4200000000004,2.574329896907219,194
R_31peLcUTAd5xfag,689.8599999999997,2.574104477611939,268
R_10CacK37RvzjnkQ,0,0,0
R_2dgzM9dAU9JaIxZ,428.2100000000001,2.378944444444445,180
R_O3YsUxpZy9lC5KF,433.0500000000001,2.640548780487806,164
R_OO6PrhDWfg6zKM1,147.88,2.4646666666666666,60
R_25gFFbDI9PCLyBr,209.10000000000002,2.519277108433735,83
R_1KwLSZdPXewf1Gb,133.07999999999998,2.3347368421052628,57
R_23V9LMlbaUQi4ty,270.07,2.3690350877192983,114
R_1laDlKJrSONikQI,0,0,0
R_3KqNzPwhCxHoSHN,0,0,0
R_1Kd2dW9SQ0pq9Ei,100.11,2.6344736842105263,38
R_26hI7Vr5chDL2XS,117.79000000000002,2.3096078431372553,51
